Asset Class,Sector,Subsector,Category
Alternatives,Defined Outcome,Buffered,
Alternatives,Defined Outcome,Accelerated,
Alternatives,Hedge Fund Strategies,Long-Short,
Alternatives,Hedge Fund Strategies,Managed Futures,
Alternatives,Hedge Fund Strategies,Market Neutral,
Alternatives,Hedge Fund Strategies,Merger Arbitrage,
Alternatives,Hedge Fund Strategies,Multi-Strategy,
Alternatives,Leveraged & Inverse,Index Leveraged,
Alternatives,Leveraged & Inverse,Index Inverse,
Alternatives,Leveraged & Inverse,Single Stock,
Alternatives,Options Strategies,Covered Call,
Alternatives,Options Strategies,LEAPS,
Alternatives,Options Strategies,Put Write,
Alternatives,Volatility,,
Commodities,Agriculture,,
Commodities,Broad,,
Commodities,Carbon Credits,,
Commodities,Energy,Crude Oil,
Commodities,Energy,Diversified,
Commodities,Energy,Natural Gas,
Commodities,Industrial Metals,Copper,
Commodities,Industrial Metals,Diversified,
Commodities,Livestock,,
Commodities,Major,,
Commodities,Precious Metals,Gold,
Commodities,Precious Metals,Platinum & Palladium,
Commodities,Precious Metals,Silver,
Crypto,Diversified,,
Crypto,Single Asset,Altcoins,
Crypto,Single Asset,Bitcoin,
Crypto,Single Asset,Ethereum,
Crypto,Strategy,Covered Call,
Crypto,Strategy,Leveraged & Inverse,
Currencies,Diversified,,
Currencies,Emerging Markets,,
Currencies,Major,,
Currencies,Single Currency,,
Equities,Geography,Global,
Equities,Geography,United States,
Equities,Geography,Developed Markets,
Equities,Geography,Emerging Markets,
Equities,Geography,Frontier Markets,
Equities,Geography,Region,Africa
Equities,Geography,Region,Asia-Pacific
Equities,Geography,Region,Eurasia
Equities,Geography,Region,Europe
Equities,Geography,Region,Latin America
Equities,Geography,Region,Middle East
Equities,Geography,Region,North America
Equities,Geography,Single Country,
Equities,Indices,Major,
Equities,Indices,Sector,Communication Services
Equities,Indices,Sector,Consumer Discretionary
Equities,Indices,Sector,Consumer Staples
Equities,Indices,Sector,Energy
Equities,Indices,Sector,Financials
Equities,Indices,Sector,Health Care
Equities,Indices,Sector,Industrials
Equities,Indices,Sector,Materials
Equities,Indices,Sector,Real Estate
Equities,Indices,Sector,Technology
Equities,Indices,Sector,Utilities
Equities,Industries,Agriculture,
Equities,Industries,Artificial Intelligence,
Equities,Industries,Banks,
Equities,Industries,Battery & EV,
Equities,Industries,Biotechnology,
Equities,Industries,Bitcoin Miners,
Equities,Industries,Blockchain,
Equities,Industries,Clean Energy,
Equities,Industries,Copper,
Equities,Industries,Cybersecurity,
Equities,Industries,Data Centers & AI Infrastructure,
Equities,Industries,Defense,
Equities,Industries,Energy Pipelines,
Equities,Industries,Energy Producers,
Equities,Industries,Fintech,
Equities,Industries,Gaming & Esports,
Equities,Industries,Genomic,
Equities,Industries,Health Care,
Equities,Industries,Homebuilders,
Equities,Industries,Hydrogen,
Equities,Industries,Infrastructure,
Equities,Industries,Insurance,
Equities,Industries,Internet,
Equities,Industries,Lithium,
Equities,Industries,Cannabis,
Equities,Industries,Medical Devices,
Equities,Industries,Metals & Mining,
Equities,Industries,Nuclear Energy,
Equities,Industries,Pharmaceuticals,
Equities,Industries,Precious Metals,
Equities,Industries,Quantum Computing,
Equities,Industries,Rare Earths,
Equities,Industries,Robotics,
Equities,Industries,Semiconductor,
Equities,Industries,Shipping,
Equities,Industries,Software,
Equities,Industries,Solar,
Equities,Industries,Space,
Equities,Industries,Steel,
Equities,Industries,Technology,
Equities,Industries,Telecommunications,
Equities,Industries,Timber,
Equities,Industries,Transportation,
Equities,Industries,Uranium,
Equities,Industries,Water,
Equities,Industries,Weight Loss & GLP-1,
Equities,Real Estate,,
Equities,Style,Dividends,
Equities,Style,ESG & Values,
Equities,Style,Equal Weight,
Equities,Style,Factors,
Equities,Style,Large-Cap Blend,
Equities,Style,Large-Cap Growth,
Equities,Style,Large-Cap Value,
Equities,Style,Micro-Cap,
Equities,Style,Mid-Cap Blend,
Equities,Style,Mid-Cap Growth,
Equities,Style,Mid-Cap Value,
Equities,Style,Russell,
Equities,Style,S&P,
Equities,Style,Small-Cap Blend,
Equities,Style,Small-Cap Growth,
Equities,Style,Small-Cap Value,
Equities,Style,Total Market,
Fixed Income,Bank Loans,,
Fixed Income,Convertibles,,
Fixed Income,Corporate,High Yield,
Fixed Income,Corporate,Investment Grade,
Fixed Income,Diversified,Intermediate Term,
Fixed Income,Diversified,Long Term,
Fixed Income,Diversified,Short Term,
Fixed Income,Domestic,,
Fixed Income,Emerging Markets,,
Fixed Income,Inflation Protected,,
Fixed Income,International,,
Fixed Income,Major,,
Fixed Income,Municipal,High Yield,
Fixed Income,Municipal,Investment Grade,
Fixed Income,Preferreds,,
Fixed Income,Securitized,CLO,
Fixed Income,Securitized,Mortgage-Backed,
Fixed Income,Target Maturity,,
Fixed Income,Treasuries,Intermediate Term,
Fixed Income,Treasuries,Long Term,
Fixed Income,Treasuries,Short Term,
Fixed Income,Ultra Short & Cash,,
Multi-Asset,Allocation,,
Multi-Asset,Real Assets,,
Multi-Asset,Target Date,,
